ID,NAME,PLACE
65,Jason,Philippines
98,Arthur,China
110,Paul,Italy
188,Alice,Peru
104,Louis,China
59,Joshua,Colombia
91,James,Ukraine
43,Albert,Indonesia
18,Peter,Bulgaria
40,Patricia,Peru
131,Shawn,Philippines
191,Jonathan,China
199,Beverly,China
170,Irene,China
83,Linda,Indonesia
123,Donna,Japan
61,Theresa,Peru
81,Phillip,Peru
140,Willie,China
67,James,Indonesia
8,Fred,Brazil
156,Nicole,Vietnam
85,Steven,Norway
150,David,Indonesia
157,Sean,Czech Republic
114,Denise,Sweden
48,Roy,Indonesia
77,Melissa,China
70,Gloria,Armenia
21,Joyce,Cameroon
169,Lois,Portugal
15,Sarah,Japan
92,Rebecca,Indonesia
171,Ralph,China
120,James,Indonesia
41,Joyce,Vietnam
137,Joan,San Marino
189,Norma,Austria
166,Carolyn,Indonesia
94,Emily,Russia
195,Earl,Cameroon
183,Evelyn,Democratic Republic of the Congo
69,Timothy,China
200,Judith,Brazil
152,Wanda,China
10,Paul,China
192,Jimmy,Suriname
198,Jose,Portugal
3,Lisa,Indonesia
78,Bonnie,Thailand
162,Ernest,Vietnam
196,Joan,Sudan
103,Mary,Tanzania
74,Jeffrey,Portugal
121,Patricia,Russia
20,Christopher,United States
190,Kenneth,Malaysia
6,Jennifer,Togo
30,Christine,Malaysia
50,Michelle,China
51,Jeffrey,Mongolia
56,Larry,Indonesia
33,Joyce,China
172,Victor,Argentina
58,Alice,Indonesia
180,Virginia,Portugal
122,Stephanie,France
84,Donald,Indonesia
167,Edward,China
105,Carl,Philippines
62,Ruth,Nigeria
125,Ashley,Honduras
194,Wanda,China
71,Jeffrey,Kenya
35,Andrew,Philippines
138,Jacqueline,France
143,Justin,Russia
111,Jeffrey,France
128,Ryan,Malawi
82,Edward,Portugal
26,Stephanie,Russia
108,Frances,Indonesia
132,Annie,Malaysia
142,Sandra,Thailand
175,Lori,Costa Rica
124,David,China
89,Phyllis,Philippines
52,Norma,Portugal
106,Theresa,China
101,Diane,China
159,Lillian,China
160,Ann,Guatemala
28,Lori,Russia
73,Anna,France
9,Theresa,China
93,Frances,Czech Republic
72,Jason,Brazil
182,Antonio,Poland
178,Steve,China
19,Michelle,Poland
79,Christine,Japan
129,Patrick,Vanuatu
133,Brian,Netherlands
116,Edward,Afghanistan
1,Emily,Colombia
149,Louis,Comoros
113,Sandra,Indonesia
119,Janice,Canada
184,Jacqueline,Sweden
37,Anna,Brazil
161,Beverly,Indonesia
109,Johnny,Japan
144,Diane,Argentina
47,Jean,Gambia
32,Steven,Belarus
179,Brian,Japan
115,Clarence,Philippines
44,Nicole,Indonesia
36,Louise,Burundi
185,Lisa,Cuba
49,Daniel,China
158,Jeffrey,Indonesia
164,Eric,Poland
173,Deborah,Thailand
177,Susan,Philippines
187,Paula,France
130,Raymond,Portugal
66,Teresa,Portugal
102,Christine,Philippines
154,Katherine,China
117,Lori,Philippines
141,Larry,Bulgaria
197,Angela,Nigeria
146,Diana,Ukraine
60,Benjamin,Ethiopia
112,Mark,China
22,Rose,Bosnia and Herzegovina
86,Juan,Cape Verde
53,Kimberly,Eritrea
181,Patrick,Antigua and Barbuda
38,Lois,Portugal
16,Cynthia,China
46,Shirley,Portugal
45,Ryan,Peru
63,Barbara,Russia
148,Janice,Indonesia
11,Bruce,France
90,Ernest,China
136,Kelly,Nigeria
75,Louise,China
55,Ruth,Poland
5,Frances,Russia
139,Cynthia,Norway
39,Fred,China
13,Richard,Portugal
68,Denise,Indonesia
4,Eugene,Philippines
153,Earl,Poland
17,Matthew,Bosnia and Herzegovina
87,Philip,Argentina
135,Anthony,Brazil
54,Mildred,China
165,Lawrence,Russia
99,Nicholas,Angola
95,Randy,China
96,Amanda,Colombia
57,Joe,Russia
88,Gregory,Russia
80,Andrew,Japan
155,Johnny,Australia
34,Patricia,Yemen
186,Clarence,Indonesia
107,Virginia,Czech Republic
163,Christine,Poland
27,Patrick,United Kingdom
42,Louis,Chad
2,Ryan,Indonesia
100,Kimberly,Japan
145,Robert,China
168,Joseph,France
29,Dennis,Brazil
151,Cheryl,Canada
127,Susan,Portugal
7,Jimmy,Nigeria
25,Johnny,Colombia
126,Jimmy,Indonesia
97,Janet,Indonesia
176,Walter,Portugal
118,Tammy,China
134,Ronald,Tunisia
12,Arthur,Sweden
193,Thomas,Brazil
24,Joshua,France
23,Pamela,Mongolia
31,Joshua,Colombia
14,Edward,Mongolia
64,Patricia,Brazil
76,Patricia,Russia
147,Joyce,Czech Republic
174,Patrick,Syria
