ID,NAME,PLACE
1,Emily,Colombia
42,Louis,Chad
88,Gregory,Russia
31,Joshua,Colombia
186,Clarence,Indonesia
175,Lori,Costa Rica
137,Joan,San Marino
66,Teresa,Portugal
80,Andrew,Japan
101,Diane,China
107,Virginia,Czech Republic
82,Edward,Portugal
59,Joshua,Colombia
98,Arthur,China
71,Jeffrey,Kenya
5,Frances,Russia
38,Lois,Portugal
168,Joseph,France
54,Mildred,China
55,Ruth,Poland
22,Rose,Bosnia and Herzegovina
158,Jeffrey,Indonesia
36,Louise,Burundi
115,Clarence,Philippines
140,Willie,China
75,Louise,China
25,Johnny,Colombia
11,Bruce,France
67,James,Indonesia
15,Sarah,Japan
102,Christine,Philippines
162,Ernest,Vietnam
86,Juan,Cape Verde
114,Denise,Sweden
123,Donna,Japan
50,Michelle,China
79,Christine,Japan
3,Lisa,Indonesia
9,Theresa,China
65,Jason,Philippines
190,Kenneth,Malaysia
138,Jacqueline,France
8,Fred,Brazil
40,Patricia,Peru
95,Randy,China
113,Sandra,Indonesia
124,David,China
78,Bonnie,Thailand
43,Albert,Indonesia
100,Kimberly,Japan
130,Raymond,Portugal
6,Jennifer,Togo
29,Dennis,Brazil
152,Wanda,China
192,Jimmy,Suriname
74,Jeffrey,Portugal
4,Eugene,Philippines
94,Emily,Russia
136,Kelly,Nigeria
58,Alice,Indonesia
81,Phillip,Peru
178,Steve,China
19,Michelle,Poland
91,James,Ukraine
52,Norma,Portugal
30,Christine,Malaysia
143,Justin,Russia
46,Shirley,Portugal
110,Paul,Italy
135,Anthony,Brazil
34,Patricia,Yemen
85,Steven,Norway
21,Joyce,Cameroon
20,Christopher,United States
105,Carl,Philippines
128,Ryan,Malawi
63,Barbara,Russia
195,Earl,Cameroon
196,Joan,Sudan
70,Gloria,Armenia
180,Virginia,Portugal
120,James,Indonesia
56,Larry,Indonesia
106,Theresa,China
104,Louis,China
193,Thomas,Brazil
151,Cheryl,Canada
28,Lori,Russia
61,Theresa,Peru
198,Jose,Portugal
13,Richard,Portugal
73,Anna,France
182,Antonio,Poland
145,Robert,China
174,Patrick,Syria
142,Sandra,Thailand
37,Anna,Brazil
60,Benjamin,Ethiopia
121,Patricia,Russia
153,Earl,Poland
2,Ryan,Indonesia
172,Victor,Argentina
41,Joyce,Vietnam
17,Matthew,Bosnia and Herzegovina
62,Ruth,Nigeria
77,Melissa,China
111,Jeffrey,France
26,Stephanie,Russia
64,Patricia,Brazil
155,Johnny,Australia
119,Janice,Canada
47,Jean,Gambia
44,Nicole,Indonesia
149,Louis,Comoros
116,Edward,Afghanistan
187,Paula,France
126,Jimmy,Indonesia
177,Susan,Philippines
160,Ann,Guatemala
200,Judith,Brazil
183,Evelyn,Democratic Republic of the Congo
139,Cynthia,Norway
97,Janet,Indonesia
197,Angela,Nigeria
131,Shawn,Philippines
150,David,Indonesia
76,Patricia,Russia
118,Tammy,China
10,Paul,China
12,Arthur,Sweden
169,Lois,Portugal
27,Patrick,United Kingdom
161,Beverly,Indonesia
35,Andrew,Philippines
18,Peter,Bulgaria
148,Janice,Indonesia
157,Sean,Czech Republic
109,Johnny,Japan
68,Denise,Indonesia
83,Linda,Indonesia
90,Ernest,China
171,Ralph,China
45,Ryan,Peru
49,Daniel,China
188,Alice,Peru
199,Beverly,China
159,Lillian,China
134,Ronald,Tunisia
194,Wanda,China
14,Edward,Mongolia
53,Kimberly,Eritrea
122,Stephanie,France
24,Joshua,France
165,Lawrence,Russia
181,Patrick,Antigua and Barbuda
125,Ashley,Honduras
39,Fred,China
23,Pamela,Mongolia
132,Annie,Malaysia
141,Larry,Bulgaria
96,Amanda,Colombia
32,Steven,Belarus
93,Frances,Czech Republic
16,Cynthia,China
108,Frances,Indonesia
173,Deborah,Thailand
163,Christine,Poland
112,Mark,China
189,Norma,Austria
170,Irene,China
129,Patrick,Vanuatu
87,Philip,Argentina
176,Walter,Portugal
147,Joyce,Czech Republic
103,Mary,Tanzania
72,Jason,Brazil
191,Jonathan,China
57,Joe,Russia
185,Lisa,Cuba
154,Katherine,China
184,Jacqueline,Sweden
89,Phyllis,Philippines
7,Jimmy,Nigeria
84,Donald,Indonesia
33,Joyce,China
51,Jeffrey,Mongolia
48,Roy,Indonesia
146,Diana,Ukraine
127,Susan,Portugal
117,Lori,Philippines
92,Rebecca,Indonesia
167,Edward,China
99,Nicholas,Angola
156,Nicole,Vietnam
179,Brian,Japan
69,Timothy,China
144,Diane,Argentina
133,Brian,Netherlands
166,Carolyn,Indonesia
164,Eric,Poland
