ID,NAME,PLACE
44,Nicole,Indonesia
171,Ralph,China
139,Cynthia,Norway
122,Stephanie,France
184,Jacqueline,Sweden
98,Arthur,China
89,Phyllis,Philippines
2,Ryan,Indonesia
166,Carolyn,Indonesia
169,Lois,Portugal
88,Gregory,Russia
108,Frances,Indonesia
118,Tammy,China
80,Andrew,Japan
197,Angela,Nigeria
19,Michelle,Poland
4,Eugene,Philippines
94,Emily,Russia
13,Richard,Portugal
124,David,China
16,Cynthia,China
28,Lori,Russia
112,Mark,China
196,Joan,Sudan
119,Janice,Canada
113,Sandra,Indonesia
164,Eric,Poland
199,Beverly,China
121,Patricia,Russia
162,Ernest,Vietnam
50,Michelle,China
58,Alice,Indonesia
20,Christopher,United States
73,Anna,France
189,Norma,Austria
69,Timothy,China
26,Stephanie,Russia
186,Clarence,Indonesia
143,Justin,Russia
92,Rebecca,Indonesia
128,Ryan,Malawi
65,Jason,Philippines
68,Denise,Indonesia
41,Joyce,Vietnam
83,Linda,Indonesia
34,Patricia,Yemen
17,Matthew,Bosnia and Herzegovina
140,Willie,China
151,Cheryl,Canada
27,Patrick,United Kingdom
64,Patricia,Brazil
193,Thomas,Brazil
142,Sandra,Thailand
129,Patrick,Vanuatu
18,Peter,Bulgaria
56,Larry,Indonesia
132,Annie,Malaysia
31,Joshua,Colombia
191,Jonathan,China
33,Joyce,China
45,Ryan,Peru
167,Edward,China
133,Brian,Netherlands
71,Jeffrey,Kenya
101,Diane,China
8,Fred,Brazil
84,Donald,Indonesia
105,Carl,Philippines
109,Johnny,Japan
12,Arthur,Sweden
14,Edward,Mongolia
138,Jacqueline,France
42,Louis,Chad
3,Lisa,Indonesia
103,Mary,Tanzania
163,Christine,Poland
95,Randy,China
48,Roy,Indonesia
194,Wanda,China
99,Nicholas,Angola
81,Phillip,Peru
130,Raymond,Portugal
176,Walter,Portugal
39,Fred,China
79,Christine,Japan
52,Norma,Portugal
172,Victor,Argentina
29,Dennis,Brazil
117,Lori,Philippines
63,Barbara,Russia
61,Theresa,Peru
125,Ashley,Honduras
161,Beverly,Indonesia
173,Deborah,Thailand
111,Jeffrey,France
100,Kimberly,Japan
160,Ann,Guatemala
10,Paul,China
190,Kenneth,Malaysia
25,Johnny,Colombia
120,James,Indonesia
185,Lisa,Cuba
179,Brian,Japan
49,Daniel,China
67,James,Indonesia
47,Jean,Gambia
87,Philip,Argentina
23,Pamela,Mongolia
154,Katherine,China
159,Lillian,China
15,Sarah,Japan
188,Alice,Peru
38,Lois,Portugal
131,Shawn,Philippines
174,Patrick,Syria
76,Patricia,Russia
177,Susan,Philippines
59,Joshua,Colombia
11,Bruce,France
147,Joyce,Czech Republic
40,Patricia,Peru
168,Joseph,France
106,Theresa,China
53,Kimberly,Eritrea
70,Gloria,Armenia
36,Louise,Burundi
149,Louis,Comoros
21,Joyce,Cameroon
137,Joan,San Marino
150,David,Indonesia
91,James,Ukraine
200,Judith,Brazil
57,Joe,Russia
110,Paul,Italy
135,Anthony,Brazil
127,Susan,Portugal
153,Earl,Poland
6,Jennifer,Togo
1,Emily,Colombia
155,Johnny,Australia
170,Irene,China
51,Jeffrey,Mongolia
9,Theresa,China
192,Jimmy,Suriname
86,Juan,Cape Verde
115,Clarence,Philippines
146,Diana,Ukraine
181,Patrick,Antigua and Barbuda
62,Ruth,Nigeria
148,Janice,Indonesia
85,Steven,Norway
123,Donna,Japan
66,Teresa,Portugal
126,Jimmy,Indonesia
141,Larry,Bulgaria
107,Virginia,Czech Republic
165,Lawrence,Russia
24,Joshua,France
114,Denise,Sweden
22,Rose,Bosnia and Herzegovina
136,Kelly,Nigeria
32,Steven,Belarus
116,Edward,Afghanistan
104,Louis,China
97,Janet,Indonesia
158,Jeffrey,Indonesia
175,Lori,Costa Rica
144,Diane,Argentina
102,Christine,Philippines
5,Frances,Russia
55,Ruth,Poland
30,Christine,Malaysia
46,Shirley,Portugal
157,Sean,Czech Republic
74,Jeffrey,Portugal
90,Ernest,China
96,Amanda,Colombia
187,Paula,France
145,Robert,China
134,Ronald,Tunisia
93,Frances,Czech Republic
156,Nicole,Vietnam
82,Edward,Portugal
183,Evelyn,Democratic Republic of the Congo
152,Wanda,China
35,Andrew,Philippines
182,Antonio,Poland
78,Bonnie,Thailand
60,Benjamin,Ethiopia
77,Melissa,China
54,Mildred,China
180,Virginia,Portugal
195,Earl,Cameroon
178,Steve,China
7,Jimmy,Nigeria
72,Jason,Brazil
43,Albert,Indonesia
198,Jose,Portugal
75,Louise,China
37,Anna,Brazil
